time,values
1635724800000,1.964
1635725700000,1.9725000000000001
1635726600000,1.972
1635727500000,1.9700000000000002
1635728400000,1.9729999999999999
1635729300000,1.967
1635730200000,1.9615
1635731100000,1.9575
1635732000000,1.95
1635732900000,1.939
1635733800000,1.9304999999999999
1635734700000,1.938
1635735600000,1.9375
1635736500000,1.9355
1635737400000,1.9385
1635738300000,1.9289999999999998
1635739200000,1.9195
1635740100000,1.929
1635741000000,1.9329999999999998
1635741900000,1.933
1635742800000,1.9344999999999999
1635743700000,1.9385
1635744600000,1.9405000000000001
1635745500000,1.9375
1635746400000,1.932
1635747300000,1.932
1635748200000,1.9425
1635749100000,1.9425
1635750000000,1.95
1635750900000,1.96
1635751800000,1.9609999999999999
1635752700000,1.9695
1635753600000,1.9785
1635754500000,1.9825
1635755400000,1.9815
1635756300000,1.9780000000000002
1635757200000,1.9875
1635758100000,2.0055
1635759000000,1.9975
1635759900000,1.9940000000000002
1635760800000,1.9915
1635761700000,1.9865
1635762600000,1.984
1635763500000,1.9845000000000002
1635764400000,1.9875
1635765300000,1.9860000000000002
1635766200000,1.983
1635767100000,1.9765000000000001
1635768000000,1.9795
1635768900000,1.9755
1635769800000,1.9685000000000001
1635770700000,1.9705
1635771600000,1.9685000000000001
1635772500000,1.9695
1635773400000,1.976
1635774300000,1.9745
1635775200000,1.9725000000000001
1635776100000,1.97
1635777000000,1.966
1635777900000,1.9615
1635778800000,1.961
1635779700000,1.963
1635780600000,1.9660000000000002
1635781500000,1.9665
1635782400000,1.965
1635783300000,1.9660000000000002
1635784200000,1.96
1635785100000,1.958
1635786000000,1.95
1635786900000,1.9485000000000001
1635787800000,1.947
1635788700000,1.9465
1635789600000,1.9435
1635790500000,1.9435
1635791400000,1.94
1635792300000,1.939
1635793200000,1.9420000000000002
1635794100000,1.9495
1635795000000,1.9475
1635795900000,1.9485000000000001
1635796800000,1.9475
1635797700000,1.9425
1635798600000,1.9385
1635799500000,1.9369999999999998
1635800400000,1.935
1635801300000,1.9380000000000002
1635802200000,1.9395
1635803100000,1.9415
1635804000000,1.939
1635804900000,1.9455
1635805800000,1.9475
1635806700000,1.947
1635807600000,1.949
1635808500000,1.949
1635809400000,1.9475
1635810300000,1.9505
1635811200000,1.9465
1635812100000,1.9489999999999998
1635813000000,1.9405000000000001
1635813900000,1.9380000000000002
1635814800000,1.9380000000000002
1635815700000,1.9460000000000002
1635816600000,1.9449999999999998
1635817500000,1.939
1635818400000,1.9425
1635819300000,1.9415
1635820200000,1.942
1635821100000,1.94
1635822000000,1.9385
1635822900000,1.9395
1635823800000,1.9420000000000002
1635824700000,1.945
1635825600000,1.947
1635826500000,1.948
1635827400000,1.9525000000000001
1635828300000,1.9529999999999998
1635829200000,1.9515
1635830100000,1.949
1635831000000,1.9525000000000001
1635831900000,1.953
1635832800000,1.951
1635833700000,1.9525000000000001
1635834600000,1.9569999999999999
1635835500000,1.961
1635836400000,1.9635
1635837300000,1.962
1635838200000,1.96
1635839100000,1.955
1635840000000,1.9515
1635840900000,1.951
1635841800000,1.9485000000000001
1635842700000,1.951
1635843600000,1.9505
1635844500000,1.9535
1635845400000,1.9625
1635846300000,1.9689999999999999
1635847200000,1.9755
1635848100000,1.981
1635849000000,1.9769999999999999
1635849900000,1.971
1635850800000,1.972
1635851700000,1.9715
1635852600000,1.972
1635853500000,1.9675
1635854400000,1.9689999999999999
1635855300000,1.9700000000000002
1635856200000,1.967
1635857100000,1.9645000000000001
1635858000000,1.965
1635858900000,1.9660000000000002
1635859800000,1.98
1635860700000,1.9889999999999999
1635861600000,1.9885000000000002
1635862500000,1.9825
1635863400000,1.9815
1635864300000,1.9755
1635865200000,1.978
1635866100000,1.9835
1635867000000,1.9855
1635867900000,1.9895
1635868800000,1.988
1635869700000,1.981
1635870600000,1.9835
1635871500000,1.9885000000000002
1635872400000,1.9865
1635873300000,1.9915
1635874200000,1.9889999999999999
1635875100000,1.984
1635876000000,1.979
1635876900000,1.9775
1635877800000,1.9765000000000001
1635878700000,1.9769999999999999
1635879600000,1.9775
1635880500000,1.9780000000000002
1635881400000,1.9780000000000002
1635882300000,1.9775
1635883200000,1.9769999999999999
1635884100000,1.9735
1635885000000,1.9675
1635885900000,1.9665
1635886800000,1.962
1635887700000,1.9645000000000001
1635888600000,1.967
1635889500000,1.9655
1635890400000,1.964
1635891300000,1.964
1635892200000,1.9635
1635893100000,1.9615
1635894000000,1.958
1635894900000,1.9585
1635895800000,1.9625
1635896700000,1.9685000000000001
1635897600000,1.967
1635898500000,1.962
1635899400000,1.964
1635900300000,1.967
1635901200000,1.968
1635902100000,1.964
1635903000000,1.9580000000000002
1635903900000,1.959
1635904800000,1.9545
1635905700000,1.9515
1635906600000,1.9525000000000001
1635907500000,1.956
1635908400000,1.9565000000000001
1635909300000,1.955
1635910200000,1.9545
1635911100000,1.956
1635912000000,1.9575
1635912900000,1.9580000000000002
1635913800000,1.9605000000000001
1635914700000,1.9725000000000001
1635915600000,2.0005
1635916500000,2.0555000000000003
1635917400000,2.0605
1635918300000,2.0385
1635919200000,2.027
1635920100000,2.0484999999999998
1635921000000,2.059
